preco,bairro,area,quartos,suites,vagas,andar,banheiros,salao de festas,mobiliado,varanda,academia,espaco gourmet,playground,churrasqueira,piscina
R$ 899.678,Trindade,68,2,1,1,,2,1,0,1,0,1,1,1,0
R$ 745.000,Estreito,86,3,1,1,,2,1,1,0,0,0,0,0,0
R$ 475.000,Trindade,65,2,0,1,,1,0,0,0,0,0,0,0,0
R$ 745.000,Estreito,120,3,1,1,,3,0,0,0,0,0,0,0,0
R$ 455.000,Agronômica,30,1,0,0,3,1,0,0,0,1,0,1,0,0
R$ 799.000,Itacorubi,80,2,1,2,,2,0,0,0,0,0,0,0,0
R$ 980.000,Itacorubi,69,2,1,2,4,,1,0,1,1,1,1,1,1
R$ 700.000,Trindade,80,3,1,1,1,2,0,0,1,0,0,0,0,0
R$ 420.000,Trindade,49,1,0,0,,1,0,0,0,0,0,0,0,0
R$ 590.000,Itacorubi,56,2,0,1,,1,1,1,0,0,0,1,0,0
R$ 890.000,Capoeiras,76,2,1,1,4,2,1,0,0,0,0,0,0,0
R$ 2.100.000,Agronômica,95,2,2,1,7,1,1,1,1,1,1,1,0,0
R$ 2.990.000,Agronômica,145,3,3,2,,5,1,1,0,0,0,0,0,0
R$ 2.650.000,Agronômica,146,3,3,2,,4,1,0,0,0,0,0,0,0
R$ 850.000,Itacorubi,70,2,1,1,2,2,1,0,1,1,1,1,1,1
R$ 850.000,Itacorubi,70,2,1,1,2,2,1,0,1,1,1,1,1,1
R$ 799.900,Canto,75,2,1,1,7,1,1,0,0,1,1,1,1,0
R$ 859.900,Canto,78,2,2,2,7,2,1,0,1,1,0,1,0,1
R$ 688.600,Trindade,55,1,0,1,,1,1,0,0,1,0,0,0,0
R$ 650.000,Capoeiras,65,2,1,2,,2,0,0,0,0,0,0,0,0
R$ 990.000,Estreito,151,3,1,1,,2,0,0,0,0,0,0,0,0
R$ 894.383,Estreito,82,2,2,2,1,3,1,0,1,1,0,1,1,0
R$ 1.200.000,Trindade,76,2,2,3,,3,1,0,1,0,0,1,1,1
R$ 779.826,Estreito,74,2,1,2,,2,1,0,1,1,1,1,1,1
R$ 950.000,Canto,107,3,1,2,4,3,1,0,1,0,1,1,1,0
R$ 1.191.000,Estreito,74,2,1,1,5,2,1,0,1,1,0,1,1,0
R$ 680.000,Itacorubi,64,2,1,1,2,2,1,0,1,0,0,0,1,0
R$ 430.000,Estreito,76,3,1,1,,1,0,0,0,0,0,0,0,0
R$ 500.000,Itacorubi,59,3,0,1,,1,1,0,0,0,0,1,0,0
R$ 1.755.806,Estreito,108,3,1,2,12,3,1,0,1,1,0,1,1,1
R$ 489.990,Estreito,63,2,0,1,,1,1,0,0,0,0,0,0,0
R$ 770.000,Estreito,84,2,1,2,2,2,0,0,0,0,0,0,0,0
R$ 850.000,Itacorubi,70,2,1,2,,2,0,0,1,0,0,0,1,0
R$ 1.220.000,Canto,86,2,2,2,,3,1,0,1,0,0,1,0,0
R$ 649.000,Itacorubi,73,2,1,1,4,1,1,0,1,0,0,1,1,0
R$ 649.000,Itacorubi,74,2,1,1,,1,0,0,0,0,0,0,0,0
R$ 950.101,Canto,84,2,2,1,,3,1,0,1,1,1,1,1,0
R$ 684.000,Capoeiras,70,2,1,1,,2,1,0,1,1,1,1,1,1
R$ 2.850.000,Agronômica,265,4,2,2,,5,1,1,1,1,0,0,0,0
R$ 640.000,Capoeiras,68,2,0,1,4,1,0,1,0,0,0,1,0,0
R$ 580.000,Coloninha,106,3,1,1,3,1,1,0,0,0,0,0,0,0
R$ 850.000,Itacorubi,69,2,1,1,,2,0,1,1,0,0,0,1,1
R$ 815.000,Itacorubi,74,2,1,1,,2,0,0,0,0,0,0,0,0
R$ 859.000,Trindade,70,2,1,1,,2,1,1,1,1,0,1,0,0
R$ 895.000,Estreito,87,2,1,1,2,3,1,0,0,0,0,1,0,0
R$ 779.827,Estreito,74,2,1,2,,2,0,0,0,0,0,0,0,0
R$ 846.289,Balneário,84,2,2,1,,3,0,0,0,0,0,0,0,0
R$ 450.000,Estreito,70,2,0,1,4,1,1,0,1,0,0,0,0,0
R$ 1.378.000,Estreito,129,3,3,2,8,4,1,0,1,0,0,1,0,0
R$ 640.000,Agronômica,94,3,1,1,,2,0,0,0,0,0,0,0,0
R$ 1.690.000,Itacorubi,122,4,1,2,4,5,0,0,0,0,0,0,0,0
R$ 530.000,Agronômica,33,1,0,1,,1,1,0,0,1,1,1,1,1
R$ 1.569.062,Canto,133,3,3,2,9,4,1,0,1,1,1,1,1,1
R$ 936.000,Canto,76,2,2,1,12,3,1,0,0,1,0,0,0,0
R$ 600.000,Itacorubi,52,2,0,1,,1,0,1,0,0,1,1,1,0
R$ 950.000,Estreito,115,2,1,1,6,2,1,0,1,0,1,0,1,0
R$ 1.200.000,Itacorubi,79,3,1,2,3,2,1,0,1,1,1,1,0,1
R$ 680.000,Itacorubi,89,3,1,1,,2,1,0,0,0,0,0,0,1
R$ 550.000,Trindade,67,2,1,1,,1,1,0,0,0,1,0,1,0
R$ 1.230.000,Itacorubi,89,3,1,1,,2,1,1,0,0,1,0,0,0
R$ 1.100.000,Itacorubi,70,2,1,2,7,2,1,1,1,0,0,0,0,1
R$ 980.000,Balneário,64,2,1,1,,2,1,1,0,1,0,1,0,1
R$ 580.000,Itacorubi,61,2,0,1,3,1,1,0,0,0,0,1,0,0
R$ 749.000,Itacorubi,68,2,1,1,2,2,1,0,1,1,1,1,1,0
R$ 670.000,Itacorubi,57,2,0,1,,1,1,1,0,0,0,1,0,1
R$ 1.100.000,Itacorubi,68,2,1,2,8,2,1,1,1,0,0,1,1,0
R$ 745.000,Canto,84,2,1,1,6,2,1,0,1,0,0,0,0,0
R$ 1.605.133,Itacorubi,107,3,1,2,,2,1,0,0,0,1,1,1,1
R$ 764.467,Trindade,105,2,1,1,,2,1,0,1,0,0,0,1,0
R$ 986.000,Estreito,99,3,1,2,,3,0,0,0,0,0,0,0,0
R$ 925.354,Canto,70,2,1,1,4,1,1,0,1,1,1,1,1,0
R$ 1.523.000,Trindade,130,3,3,2,9,3,1,0,1,1,1,1,1,0
R$ 850.000,Itacorubi,70,2,1,1,2,2,0,0,1,0,1,1,1,0
R$ 430.000,Estreito,75,3,1,1,,2,0,0,0,0,0,0,0,0
R$ 595.000,Estreito,74,3,1,1,,1,1,0,0,0,0,0,0,0
R$ 490.000,Estreito,81,2,0,1,3,2,1,0,0,0,0,1,0,1
R$ 650.000,Capoeiras,65,2,1,2,,2,0,0,0,0,0,0,0,0
R$ 895.000,Estreito,87,2,1,1,,3,1,0,0,0,0,1,1,0
R$ 555.000,Itacorubi,57,2,0,1,,1,1,0,0,1,1,0,0,0
R$ 850.000,Trindade,67,2,1,1,,2,1,0,1,0,0,0,1,1
R$ 925.000,Itacorubi,87,3,1,1,,2,1,0,0,1,0,0,0,1
R$ 1.300.000,Canto,101,3,1,2,5,2,1,0,0,1,0,1,0,0
R$ 980.000,Itacorubi,69,2,1,2,,1,1,0,0,0,1,1,0,0
R$ 510.000,Trindade,54,2,0,0,,1,0,0,0,0,0,0,0,0
