preco,bairro,area,quartos,suites,vagas,andar,banheiros,salao de festas,mobiliado,varanda,academia,espaco gourmet,playground,churrasqueira,piscina
R$ 690.000,Trindade,74,3,0,1,,1,1,1,1,0,1,1,0,0
R$ 3.089.999,Estreito,131,3,3,3,,4,1,0,1,1,1,1,0,1
R$ 1.700.000,Trindade,91,3,1,2,,2,0,1,1,1,1,1,1,1
R$ 1.551.354,Itacorubi,200,3,1,2,,3,1,0,1,0,1,1,1,1
R$ 960.000,Trindade,84,3,1,1,3,2,1,0,1,0,0,1,0,0
R$ 580.000,Trindade,31,1,0,1,,1,0,1,0,0,1,0,0,0
R$ 1.430.000,Agronômica,69,2,1,2,,2,1,0,1,1,0,0,1,0
R$ 1.900.000,Agronômica,87,2,1,3,,1,1,0,0,0,0,1,1,0
R$ 908.000,Itacorubi,73,2,0,1,,1,1,1,1,0,1,1,1,0
R$ 1.327.500,Itacorubi,96,3,1,1,2,2,1,0,1,0,1,0,1,1
R$ 795.000,Itacorubi,56,1,0,1,,1,0,0,0,0,0,0,0,0
R$ 1.100.000,Estreito,156,3,1,2,,3,1,1,0,1,1,1,1,0
R$ 890.000,Agronômica,118,3,1,1,,3,1,1,1,1,1,0,1,1
R$ 1.300.000,Canto,97,3,1,2,,2,0,1,1,0,0,1,1,1
R$ 900.000,Itacorubi,74,3,0,3,,2,0,0,0,0,0,0,0,0
R$ 2.220.268,Trindade,142,3,3,1,9,3,1,0,1,1,1,0,0,0
R$ 10.631.000,Agronômica,248,4,0,4,,5,0,0,0,0,0,0,0,0
R$ 2.186.663,Agronômica,265,3,3,1,,3,0,0,1,0,0,1,1,1
R$ 1.100.000,Trindade,98,3,1,2,5,2,0,0,1,0,0,1,1,0
R$ 455.000,Agronômica,29,1,0,0,1,1,1,0,0,0,1,1,0,1
R$ 1.440.000,Trindade,220,2,2,2,,3,1,1,0,1,1,0,0,1
R$ 1.997.543,Agronômica,157,3,1,2,,2,1,0,0,1,1,0,1,1
R$ 1.180.000,Agronômica,101,3,1,1,,3,1,1,1,1,0,1,0,1
R$ 2.490.000,Agronômica,264,3,3,2,5,5,1,0,1,0,1,1,0,0
R$ 1.690.000,Itacorubi,122,4,1,2,,4,1,0,1,1,1,1,1,1
R$ 990.000,Capoeiras,151,3,1,1,,2,1,0,1,0,0,0,0,0
R$ 790.000,Itacorubi,64,1,1,1,7,1,1,1,1,0,1,1,0,0
R$ 1.955.500,Itacorubi,189,3,1,2,,2,0,0,1,0,0,1,1,1
R$ 2.000.000,Agronômica,225,2,1,2,,1,1,1,0,0,0,0,1,1
R$ 950.000,Agronômica,65,2,1,3,1,2,1,1,1,1,1,1,1,1
R$ 1.200.000,Agronômica,162,3,1,0,,2,1,0,0,0,0,1,1,1
R$ 1.690.000,Itacorubi,122,3,1,2,,3,1,0,0,0,0,1,0,1
R$ 1.300.000,,185,5,2,4,,4,1,1,1,0,0,1,1,0
R$ 1.200.000,Itacorubi,103,,1,1,3,,1,0,1,1,1,1,0,1
R$ 3.090.000,Estreito,138,2,2,2,,4,1,1,1,0,0,1,1,0
R$ 1.600.000,Agronômica,80,2,1,2,14,2,0,1,1,0,0,0,1,1
R$ 1.479.000,Trindade,91,3,1,2,,1,1,0,0,0,1,1,1,1
R$ 1.350.000,Itacorubi,116,4,1,1,3,3,1,0,1,1,1,1,0,1
R$ 960.000,Estreito,151,3,1,1,3,3,0,0,0,0,0,0,0,0
R$ 1.230.000,Itacorubi,92,3,1,1,,2,1,0,0,1,1,0,1,1
R$ 1.100.000,Itacorubi,76,2,1,1,3,1,1,1,1,0,0,1,1,1
R$ 1.470.000,Agronômica,116,3,1,2,3,2,0,0,1,0,0,0,1,1
R$ 535.000,Trindade,36,1,0,1,,1,1,0,0,0,1,0,0,0
R$ 1.280.000,Estreito,100,3,1,3,,3,1,0,1,0,0,1,1,0
R$ 1.900.000,Itacorubi,119,3,3,3,1,4,1,0,0,1,1,1,0,0
R$ 1.700.000,Agronômica,87,3,1,2,,2,0,0,1,1,1,1,1,1
R$ 1.060.000,Itacorubi,75,3,1,2,,2,1,0,1,0,0,1,0,0
R$ 720.000,Trindade,85,2,0,1,,2,0,0,0,0,0,1,1,1
R$ 1.309.000,Itacorubi,96,3,1,2,,2,1,0,0,1,1,1,0,1
R$ 960.000,Trindade,84,3,1,1,,2,0,0,1,0,0,1,1,1
R$ 2.995.000,Agronômica,237,3,2,2,,5,1,0,1,1,0,1,1,1
R$ 583.000,Trindade,31,1,0,1,,1,0,0,0,0,1,0,0,0
R$ 1.900.000,Agronômica,92,1,1,3,,2,1,0,0,1,1,1,1,1
R$ 950.000,Agronômica,88,3,1,1,7,2,0,1,0,0,0,0,0,0
R$ 480.000,Trindade,34,1,0,1,,1,1,0,0,0,1,0,0,0
R$ 1.327.000,Itacorubi,95,3,1,2,,2,1,0,0,1,0,1,0,1
R$ 1.480.000,Trindade,91,3,1,2,,2,1,1,0,0,1,1,1,1
R$ 1.887.017,Agronômica,157,3,1,1,,1,1,0,1,0,0,0,1,1
R$ 1.880.000,Itacorubi,111,3,1,2,,2,1,0,1,0,1,1,0,0
R$ 3.900.000,Agronômica,166,2,2,2,19,4,1,1,1,0,1,1,1,0
R$ 1.960.000,Agronômica,153,3,1,2,,2,1,0,0,0,1,1,1,1
R$ 1.690.000,Itacorubi,122,4,0,2,,4,1,0,1,0,1,1,1,1
R$ 799.000,Estreito,42,1,0,1,6,1,0,0,0,0,0,1,1,1
R$ 968.000,,76,2,1,1,1,2,0,0,1,0,0,0,1,1
R$ 1.722.000,Agronômica,116,3,1,2,3,2,0,0,1,0,0,0,1,1
R$ 2.230.000,Agronômica,94,2,2,1,,3,1,0,0,1,1,1,1,0
R$ 560.000,Trindade,30,1,0,1,3,11,1,0,0,1,1,0,0,0
R$ 1.300.000,Itacorubi,89,3,1,2,6,1,1,0,1,1,0,1,1,0
R$ 720.000,Itacorubi,61,2,1,1,5,1,1,0,1,0,0,1,0,0
R$ 2.000.000,Agronômica,206,4,2,2,1,4,0,1,1,0,0,0,0,0
R$ 1.318.500,Itacorubi,96,3,1,1,1,1,0,0,0,1,0,1,0,1
R$ 1.400.000,Agronômica,111,3,1,2,4,3,1,0,1,1,1,1,0,1
R$ 2.450.000,Agronômica,208,4,2,2,,5,0,0,0,0,0,0,0,0
R$ 1.600.000,Agronômica,139,3,0,3,,4,0,0,0,0,0,0,0,0
R$ 1.750.000,Itacorubi,127,4,1,2,,3,1,1,0,0,0,1,1,0
R$ 1.350.000,Jardim Atlântico,113,3,1,1,4,1,0,0,0,0,0,0,1,0
R$ 1.169.000,Itacorubi,125,3,0,2,,1,0,0,1,0,0,1,1,1
R$ 1.166.000,Itacorubi,75,3,1,1,8,2,0,0,1,0,0,0,1,1
R$ 1.250.000,Canto,97,3,1,1,9,2,1,0,0,0,1,1,1,0
R$ 596.000,Jardim Atlântico,33,1,0,1,,1,0,0,0,0,0,0,0,0
R$ 2.345.000,Agronômica,130,2,2,1,4,3,1,0,0,1,1,1,1,1
R$ 1.900.000,Agronômica,87,2,2,3,3,3,1,0,1,1,1,1,1,1
R$ 9.800.000,Agronômica,318,4,4,3,,5,1,0,1,1,1,1,0,1
R$ 1.990.000,Agronômica,200,3,2,3,1,2,0,0,1,0,0,0,0,0
R$ 3.500.000,Agronômica,128,3,1,2,12,2,1,0,1,1,1,1,1,1
R$ 1.350.000,Agronômica,84,3,1,2,7,2,1,0,1,1,1,0,1,0
R$ 1.980.000,Agronômica,206,4,2,2,,5,1,0,1,1,0,0,0,0
R$ 580.000,Trindade,32,1,0,1,1,1,0,0,0,0,0,0,0,0
R$ 1.150.000,Capoeiras,151,,1,1,1,,1,1,1,0,0,1,1,0
R$ 2.990.000,Agronômica,145,3,3,2,11,5,1,1,0,0,0,0,0,0
R$ 1.100.000,Estreito,93,3,1,2,,3,1,1,1,1,0,1,0,0
R$ 1.860.000,Agronômica,108,3,1,1,,3,1,0,1,1,0,1,1,1
R$ 1.350.000,Agronômica,73,2,1,2,,2,1,0,0,1,0,1,0,1
R$ 1.980.000,Balneário,200,3,2,3,,3,1,0,1,0,0,0,0,0
R$ 670.528,Trindade,36,1,0,0,,1,0,0,0,0,0,0,0,0
R$ 2.322.958,Agronômica,124,3,1,0,15,2,0,0,1,0,0,0,0,1
R$ 2.461.205,Agronômica,124,3,1,3,15,2,1,0,1,0,1,1,1,0
R$ 850.000,Centro,114,2,1,1,1,2,0,0,1,0,0,0,1,1
R$ 1.300.000,Itacorubi,89,3,1,2,,2,0,0,1,0,0,1,0,0
R$ 435.568,Agronômica,39,1,0,0,,1,1,0,0,1,0,0,0,0
R$ 5.900.000,Agronômica,302,3,3,3,,5,0,0,0,0,0,0,1,1
R$ 1.200.000,Trindade,82,3,1,2,,2,1,1,1,1,1,1,1,1
R$ 2.650.000,Agronômica,122,3,3,3,,4,1,1,0,1,0,1,0,0
R$ 2.600.000,Itacorubi,170,3,2,3,9,5,0,0,0,0,0,0,0,0
R$ 1.400.000,Canto,101,3,1,2,,2,0,0,1,0,0,0,1,1
R$ 1.299.500,Itacorubi,95,3,1,2,3,2,1,0,0,1,0,1,1,1
R$ 1.250.000,Trindade,88,,1,1,1,,1,1,1,1,0,0,1,0
R$ 1.695.000,Itacorubi,122,4,2,2,,4,1,0,0,0,1,1,1,1
R$ 1.600.000,Agronômica,151,4,1,2,2,3,1,0,0,0,0,0,0,0
R$ 2.680.000,Agronômica,206,3,2,2,11,4,0,0,1,0,1,0,0,0
R$ 1.900.000,Agronômica,93,2,2,1,3,3,1,0,1,1,1,1,1,1
R$ 1.690.000,Itacorubi,123,4,1,2,3,4,1,0,0,0,1,1,0,0
R$ 2.400.000,Itacorubi,227,3,3,4,,5,1,1,1,0,1,1,1,1
R$ 1.389.000,Trindade,90,3,1,2,,2,0,1,0,0,0,0,0,0
R$ 1.350.000,Itacorubi,116,4,1,1,3,3,1,1,1,1,0,1,0,0
R$ 2.120.000,Agronômica,102,3,1,2,16,1,1,0,1,1,0,1,1,1
R$ 820.000,Agronômica,113,2,0,2,,2,0,0,0,0,0,0,0,0
R$ 890.288,Trindade,44,1,0,1,,1,1,0,0,0,1,1,0,0
R$ 1.530.000,Agronômica,95,3,1,2,,2,1,0,0,0,0,0,1,1
R$ 900.000,Trindade,63,2,1,1,5,2,1,0,0,0,1,1,0,0
R$ 1.790.000,Agronômica,141,3,2,2,,4,1,0,0,1,0,1,1,1
R$ 1.667.600,Trindade,91,3,1,1,,2,1,0,1,1,0,0,0,0
R$ 2.576.000,Itacorubi,147,2,1,2,,2,1,1,1,0,1,1,1,1
R$ 1.450.000,Itacorubi,70,2,1,2,9,2,1,1,1,1,1,1,1,1
R$ 3.900.000,Agronômica,166,2,2,2,19,4,1,1,1,0,1,1,1,0
R$ 615.000,Trindade,31,1,0,1,2,1,1,0,0,0,1,0,0,0
R$ 1.318.500,Itacorubi,95,3,1,2,3,3,0,0,0,0,0,0,0,0
R$ 550.000,Trindade,31,1,0,1,,1,0,0,0,0,1,0,0,0
R$ 1.850.000,Agronômica,92,3,1,2,1,2,0,1,0,1,1,1,1,1
R$ 1.596.000,Agronômica,101,3,1,1,,2,1,0,1,1,1,1,0,0
R$ 1.185.000,Trindade,72,2,1,1,24,2,1,0,0,1,0,0,1,0
R$ 1.300.000,Canto,101,3,1,2,5,2,1,0,0,1,0,1,0,0
R$ 1.050.000,Estreito,100,3,1,2,,3,0,0,1,0,0,1,1,1
R$ 1.490.000,Itacorubi,79,3,1,2,7,2,1,0,1,1,1,1,1,0
R$ 582.900,Estreito,32,1,0,1,,1,1,1,0,1,1,1,1,0
R$ 2.800.000,Agronômica,179,3,2,2,,3,1,1,1,0,1,0,1,0
R$ 1.990.000,Agronômica,87,2,2,2,,3,1,1,1,0,1,1,1,1
R$ 1.357.620,Trindade,73,2,1,1,8,1,1,0,1,1,1,0,0,0
R$ 2.450.000,Agronômica,146,3,3,2,,5,0,0,1,0,0,1,1,1
R$ 1.300.000,Trindade,115,3,2,2,1,3,0,0,1,0,1,1,1,0
R$ 600.000,Itacorubi,52,2,0,1,,1,1,1,1,0,0,1,1,0
R$ 1.500.000,Canto,114,3,1,3,1,2,1,1,1,0,0,1,1,0
R$ 1.150.000,Agronômica,73,2,1,2,,2,1,0,0,1,0,0,0,0
R$ 1.490.000,Itacorubi,80,3,1,2,,1,1,0,0,0,1,1,1,0
R$ 2.150.000,Itacorubi,122,3,1,2,7,3,1,0,1,1,0,0,1,1
R$ 1.490.000,Trindade,193,5,2,1,,4,0,0,1,0,0,0,0,1
R$ 2.461.205,Agronômica,124,3,1,1,,2,1,0,0,1,0,1,0,0
R$ 2.565.000,Agronômica,255,4,4,3,,5,1,0,0,1,1,0,1,1
R$ 2.000.000,Agronômica,206,4,2,2,,4,1,1,1,0,1,0,1,1
R$ 1.900.000,Itacorubi,127,4,1,2,,3,1,0,1,0,1,1,0,0
R$ 2.000.000,Trindade,169,3,1,2,,2,1,1,1,0,1,0,1,0
R$ 1.400.000,Agronômica,112,3,1,2,,3,0,1,1,0,0,0,0,1
R$ 1.900.000,Agronômica,141,3,1,2,5,1,1,0,1,1,1,1,1,1
R$ 3.600.000,Balneário,231,4,3,4,,4,1,0,0,0,0,1,0,1
R$ 1.790.000,Trindade,167,4,3,2,,4,1,1,1,1,1,1,1,0
R$ 1.151.000,Jardim Atlântico,73,2,1,1,,1,1,0,1,1,1,1,0,1
R$ 1.990.000,Agronômica,87,2,2,2,4,3,1,1,1,1,1,1,1,1
R$ 2.190.000,Agronômica,124,3,1,2,,1,1,0,1,1,0,1,1,1
R$ 2.200.000,Agronômica,136,3,1,2,4,2,1,0,1,1,1,0,1,0
R$ 3.600.000,Balneário,294,4,3,4,6,2,0,1,0,1,1,1,0,1
R$ 1.399.000,Agronômica,156,3,1,2,,3,0,0,0,0,0,0,0,0
R$ 1.890.000,Itacorubi,129,4,1,2,7,3,1,1,1,1,1,1,1,1
R$ 1.900.000,Estreito,204,3,1,2,12,3,1,0,1,1,1,0,1,1
R$ 1.900.000,Trindade,112,3,1,2,,3,1,1,1,1,1,1,1,1
R$ 1.350.000,Itacorubi,117,3,0,3,,2,0,0,0,0,0,0,0,0
R$ 2.900.000,Agronômica,167,4,2,2,,5,1,0,1,1,0,1,1,0
R$ 1.070.000,,77,2,1,1,,3,0,0,1,0,0,0,0,0
R$ 11.100.000,Agronômica,308,4,4,3,1,,1,1,1,1,1,1,1,1
R$ 2.750.000,Agronômica,210,,1,2,1,4,0,0,1,1,1,1,0,1
R$ 3.900.000,Agronômica,280,3,3,2,13,5,1,1,0,0,0,0,0,0
R$ 1.800.000,Itacorubi,122,4,2,2,,4,1,1,1,1,1,1,0,1
R$ 1.900.000,Agronômica,227,4,1,2,8,4,0,0,0,0,0,0,0,0
R$ 2.100.000,Agronômica,152,3,1,2,1,4,1,0,0,1,0,0,0,0
R$ 1.556.000,Itacorubi,151,3,1,1,,3,1,1,0,0,1,1,1,0
R$ 2.500.000,Agronômica,145,3,2,2,,4,0,1,1,0,0,0,1,0
R$ 9.480.000,Agronômica,316,4,4,4,1,5,1,0,1,0,0,0,0,1
R$ 1.350.000,Itacorubi,116,4,1,1,3,3,1,1,1,1,1,1,0,1
R$ 920.000,Trindade,71,2,1,1,,2,1,1,1,0,0,1,0,0
R$ 1.390.000,Jardim Atlântico,96,3,1,1,,2,1,1,0,1,1,1,1,0
R$ 2.960.000,Agronômica,139,4,1,2,,3,1,0,0,1,0,1,1,1
R$ 1.500.000,Agronômica,112,3,1,2,,2,1,1,0,0,0,1,1,1
R$ 1.495.000,Agronômica,83,3,1,2,,2,1,1,0,0,0,1,1,0
R$ 2.500.000,Agronômica,178,,1,2,4,,1,1,0,0,1,1,1,1
R$ 1.150.000,Jardim Atlântico,72,2,2,1,5,2,1,1,1,1,1,1,1,1
R$ 1.100.000,Estreito,93,3,1,2,,3,1,1,1,1,0,1,0,0
R$ 1.200.000,Itacorubi,104,3,1,2,2,2,1,1,0,0,1,1,1,1
R$ 2.900.000,Agronômica,166,4,2,2,,3,1,0,0,0,0,0,1,0
R$ 1.500.000,Canto,101,3,1,2,6,3,1,0,1,1,1,1,1,1
R$ 2.000.000,Agronômica,130,4,2,2,16,3,0,1,1,0,0,0,0,0
R$ 1.484.000,Canto,93,3,1,2,,2,1,0,0,0,0,1,0,1
R$ 1.850.000,Itacorubi,196,3,1,4,,4,1,1,1,0,0,0,0,1
R$ 2.600.000,Agronômica,178,4,1,2,,3,1,0,0,0,1,1,0,1
R$ 530.000,Trindade,32,1,1,1,,1,0,0,0,0,0,0,0,0
R$ 1.980.000,Agronômica,206,4,2,2,1,5,1,1,1,0,1,1,1,1
R$ 615.000,Trindade,32,1,0,1,,1,1,1,0,0,0,0,0,0
R$ 1.482.000,Canto,93,3,1,2,,2,1,0,0,0,0,1,0,0
R$ 1.350.000,Canto,113,3,3,2,3,3,1,0,0,0,0,1,1,0
R$ 1.397.000,Canto,93,3,1,2,,2,1,0,0,0,0,1,0,0
R$ 1.350.000,Agronômica,134,3,1,2,,4,1,0,0,1,0,1,0,1
R$ 1.300.000,Agronômica,121,3,1,1,,1,0,0,1,0,0,0,0,1
R$ 2.090.000,Agronômica,127,3,1,2,,3,1,0,0,0,1,1,1,1
R$ 2.398.234,Agronômica,124,3,1,2,,2,0,0,0,0,0,0,0,0
R$ 2.100.000,Agronômica,94,2,1,1,7,3,0,1,1,1,0,1,1,1
R$ 2.000.000,Agronômica,124,3,1,2,,2,1,1,1,1,1,1,0,0
R$ 1.350.000,Agronômica,84,3,1,2,,2,1,1,0,1,0,1,0,0
R$ 2.850.000,Agronômica,210,4,1,3,,3,1,1,0,0,0,0,1,0
R$ 4.220.000,Agronômica,131,3,3,2,5,5,1,1,1,1,1,1,1,1
R$ 2.800.000,Agronômica,93,2,2,1,3,3,1,0,1,1,1,1,1,1
R$ 1.350.000,Agronômica,85,2,1,1,7,2,1,1,0,1,0,0,0,0
R$ 410.000,Trindade,20,1,0,0,,1,0,0,0,0,0,0,0,0
R$ 1.390.000,Itacorubi,95,3,1,2,5,2,1,0,0,1,1,1,0,0
R$ 1.540.000,Estreito,247,3,1,2,,4,0,0,0,0,0,0,0,0
R$ 1.490.000,Itacorubi,79,3,1,2,,2,1,0,1,1,1,1,1,0
R$ 2.750.000,Agronômica,210,3,1,2,2,3,1,1,1,1,0,1,1,1
R$ 1.450.000,Itacorubi,96,,1,3,9,,1,1,1,1,1,1,1,1
R$ 1.850.000,Itacorubi,196,3,1,4,,4,1,1,1,0,0,0,1,1
R$ 660.000,Agronômica,33,1,0,0,,1,0,0,0,0,0,0,0,0
R$ 1.004.000,Itacorubi,76,2,2,1,,3,0,0,0,0,0,0,1,1
R$ 1.990.000,Agronômica,202,4,1,2,,2,1,0,0,0,0,1,1,0
R$ 960.000,Trindade,84,3,1,1,3,2,1,0,1,0,0,0,0,0
R$ 2.166.838,Agronômica,12,3,1,3,13,4,0,0,1,0,0,0,0,1
R$ 4.550.000,Agronômica,162,2,2,2,,4,1,0,1,0,1,1,1,1
R$ 1.550.000,Itacorubi,91,3,1,1,,1,1,0,0,0,1,1,0,1
R$ 2.650.000,Itacorubi,180,3,2,3,8,4,1,1,0,1,1,1,1,0
R$ 1.800.000,Agronômica,136,3,1,2,2,3,0,1,1,0,0,0,0,1
R$ 2.800.000,Agronômica,252,4,3,2,1,4,0,0,1,0,0,0,1,1
R$ 2.974.000,Trindade,148,4,4,3,,5,0,1,1,1,1,1,1,1
R$ 4.790.000,Agronômica,129,3,3,2,14,3,1,1,0,1,1,0,1,0
R$ 850.000,Itacorubi,58,2,1,1,7,2,0,0,1,0,0,0,0,1
R$ 1.599.000,Estreito,227,3,1,2,,3,1,0,1,1,0,1,0,1
R$ 535.000,Trindade,33,1,0,1,,1,1,0,0,0,1,0,0,0
R$ 670.000,Trindade,34,1,0,1,1,1,1,1,0,1,1,1,0,0
R$ 1.280.000,Estreito,100,3,0,3,,3,0,0,0,0,0,0,0,0
R$ 1.400.000,Agronômica,83,3,1,2,1,2,1,0,0,0,0,1,0,0
R$ 1.430.000,Capoeiras,105,3,1,1,16,2,1,1,1,1,1,1,1,1
R$ 1.657.810,Itacorubi,185,4,4,3,,5,1,0,1,1,0,1,0,1
R$ 1.900.000,Agronômica,141,3,2,2,5,4,1,1,1,0,1,1,0,1
R$ 2.514.000,Estreito,126,3,3,1,,4,1,0,1,1,0,1,0,0
R$ 2.400.000,Trindade,600,9,9,1,1,12,0,0,1,0,0,0,0,0
R$ 1.430.000,Agronômica,70,2,1,2,,2,1,0,0,1,0,0,0,0
R$ 1.350.000,Agronômica,84,2,0,2,,2,0,0,0,0,0,0,0,0
R$ 1.450.000,Agronômica,134,3,1,1,,3,1,0,0,0,1,1,0,1
R$ 1.550.000,Itacorubi,122,3,2,2,,4,1,0,0,0,1,1,1,1
R$ 2.000.000,Trindade,95,3,1,2,,3,1,1,1,1,1,1,1,1
R$ 1.650.000,Trindade,98,3,3,3,,4,0,0,0,0,1,1,1,0
R$ 2.131.454,Agronômica,102,3,1,2,,2,1,0,0,1,0,0,0,1
R$ 1.800.000,Itacorubi,76,2,1,2,,2,0,1,0,0,0,1,1,0
R$ 1.980.000,Balneário,200,3,3,3,7,5,1,0,1,0,0,0,0,0
R$ 1.999.000,Canto,205,3,3,2,2,3,0,0,1,0,0,0,1,1
R$ 2.800.000,Agronômica,260,4,3,2,,5,1,0,0,0,0,0,0,1
R$ 550.000,Trindade,36,1,1,1,2,1,0,0,0,1,0,0,0,0
R$ 1.899.000,Itacorubi,106,3,1,2,3,2,1,0,1,1,1,1,0,0
R$ 2.120.000,Agronômica,104,2,2,1,,1,1,0,1,1,1,1,1,0
R$ 2.500.000,Agronômica,178,4,1,2,4,2,1,1,1,0,1,1,0,1
R$ 9.200.000,Agronômica,350,,3,4,,,1,1,1,1,1,1,1,1
R$ 2.100.000,Agronômica,152,3,1,2,,4,1,0,0,0,0,0,0,1
R$ 975.000,Trindade,54,1,0,1,,1,0,0,0,0,0,0,0,0
R$ 2.283.158,Agronômica,102,3,1,2,,2,0,0,0,0,0,0,0,0
R$ 1.500.000,Trindade,138,,1,1,9,,1,1,1,0,0,0,1,1
R$ 5.500.000,Agronômica,170,3,3,2,13,3,1,0,1,1,1,1,1,1
R$ 2.100.000,Agronômica,95,2,2,1,,1,1,0,0,0,1,1,0,1
R$ 1.600.000,Agronômica,121,3,1,2,,3,1,0,0,1,0,0,1,1
R$ 2.980.000,Agronômica,277,3,1,2,11,4,1,0,1,0,1,1,0,1
R$ 835.191,Trindade,44,1,0,1,,1,0,0,0,0,0,0,0,0
R$ 1.170.000,Trindade,71,2,1,1,7,2,1,0,1,1,1,0,0,0
R$ 1.595.750,Estreito,245,3,1,2,5,3,1,0,1,0,0,1,1,1
R$ 900.000,Agronômica,78,3,0,3,,2,0,0,0,0,0,0,0,0
R$ 2.500.000,Agronômica,121,3,1,2,,2,0,0,0,0,1,0,0,1
R$ 4.500.000,Agronômica,282,4,4,3,,6,1,0,0,1,0,0,0,0
R$ 8.900.000,Agronômica,209,3,0,3,,5,0,0,0,0,0,0,0,0
R$ 2.050.000,Agronômica,106,3,1,2,10,3,1,1,1,1,1,1,1,1
R$ 1.980.000,Agronômica,206,4,2,2,,5,1,0,1,0,0,0,0,1
R$ 2.000.000,Agronômica,90,2,2,2,,3,1,0,0,1,0,1,0,0
R$ 2.900.000,Agronômica,394,4,2,2,,5,0,0,0,1,1,1,1,1
R$ 498.000,Jardim Atlântico,32,1,0,1,2,1,1,0,0,1,1,0,1,1
R$ 2.400.000,Agronômica,127,3,3,2,8,4,1,0,1,1,1,1,1,0
R$ 860.000,Agronômica,76,3,1,1,,2,1,1,1,0,0,0,0,0
R$ 1.990.000,Agronômica,134,3,2,3,1,2,0,0,1,0,0,0,0,0
R$ 550.000,Trindade,32,1,0,1,,1,0,0,0,0,0,0,0,0
R$ 1.797.000,Itacorubi,127,4,1,2,7,2,1,1,0,1,1,0,1,0
R$ 2.150.000,Itacorubi,122,3,1,2,,3,1,0,1,1,1,1,1,1
R$ 1.400.000,Agronômica,83,3,1,2,1,2,0,0,1,0,0,0,1,1
R$ 2.400.000,Trindade,602,9,9,1,,12,0,0,0,0,0,0,0,0
R$ 1.380.000,Agronômica,134,3,1,1,4,2,0,0,1,0,0,0,1,1
R$ 2.500.000,Itacorubi,239,2,1,2,,2,1,1,0,1,1,1,1,1
R$ 2.600.000,Agronômica,255,4,2,3,2,5,0,0,1,0,0,0,0,1
R$ 1.500.000,Trindade,138,2,1,1,,2,1,1,0,0,1,1,1,1
R$ 2.700.000,Agronômica,255,4,4,3,3,5,1,0,1,1,1,0,1,1
R$ 1.595.000,Estreito,270,3,1,2,,2,1,0,0,0,0,0,1,1
R$ 3.401.000,Estreito,159,3,3,3,5,4,1,0,0,1,1,0,0,0
R$ 2.850.000,Agronômica,129,3,3,2,,4,0,0,0,1,0,0,1,1
R$ 1.650.000,Agronômica,207,3,1,3,,4,1,0,1,0,1,0,1,1
R$ 570.000,Agronômica,33,1,0,1,,1,0,0,0,0,0,1,0,1
R$ 1.612.000,Trindade,91,3,1,2,,2,0,0,1,1,1,1,1,1
R$ 1.299.500,Itacorubi,95,3,1,2,3,2,1,0,0,1,0,1,1,1
R$ 2.590.000,Agronômica,168,3,1,1,,2,0,0,1,0,0,1,1,1
R$ 2.590.000,Agronômica,121,3,1,2,,3,1,1,0,1,0,1,1,0
R$ 2.060.000,Itacorubi,109,4,1,2,,2,1,0,0,1,1,1,1,1
R$ 1.600.000,Estreito,208,4,2,2,,5,0,0,0,0,0,0,0,0
R$ 919.999,Canto,123,3,2,1,,3,1,0,1,1,0,1,0,1
R$ 580.000,Trindade,31,1,0,1,,1,1,1,0,0,0,0,0,0
R$ 2.500.000,Itacorubi,147,2,1,2,,2,0,1,1,0,0,0,1,0
R$ 800.000,Agronômica,40,1,0,1,3,1,0,1,1,0,1,0,0,0
R$ 2.300.000,Canto,185,3,3,3,,1,0,0,0,0,0,0,0,0
R$ 893.662,Trindade,37,1,0,1,,1,1,0,0,0,0,0,0,0
R$ 4.200.000,Agronômica,131,3,3,2,,5,1,1,1,0,1,1,1,0
R$ 2.900.000,Agronômica,237,4,2,2,,4,1,0,1,0,0,1,0,0
R$ 2.550.000,Agronômica,102,3,1,2,15,2,1,0,1,1,1,1,1,1
R$ 1.890.000,Estreito,100,3,1,2,,3,0,0,0,0,0,0,0,0
R$ 1.390.000,Agronômica,73,2,1,2,,2,0,0,0,0,1,0,0,1
R$ 2.680.000,Itacorubi,220,5,3,3,,5,0,0,0,0,0,0,0,1
R$ 1.075.000,Canto,107,3,1,2,,3,0,0,0,0,0,0,0,0
R$ 822.539,Trindade,43,1,0,1,,1,0,0,0,0,0,0,0,0
R$ 1.980.000,Agronômica,206,4,2,2,,4,0,0,1,0,0,1,1,1
R$ 4.200.000,Agronômica,175,3,3,2,1,5,1,1,1,1,0,1,1,1
R$ 2.800.000,Agronômica,136,3,1,1,,3,1,0,1,1,0,1,1,0
R$ 3.100.000,Estreito,354,6,2,8,3,8,0,0,0,0,0,0,1,0
R$ 1.399.000,Agronômica,155,3,1,2,4,3,1,0,1,1,0,0,1,0
R$ 1.900.000,Agronômica,87,2,2,2,3,3,1,1,0,1,1,1,0,0
R$ 2.957.000,Trindade,148,4,4,3,,5,1,0,0,1,0,1,0,0
R$ 2.100.000,Agronômica,152,3,1,2,1,4,1,0,1,1,0,0,0,1
R$ 1.350.000,Agronômica,157,4,1,2,2,4,1,0,0,0,0,0,0,0
R$ 2.500.000,Agronômica,310,3,3,2,,5,1,0,0,0,1,0,1,0
R$ 2.360.000,Agronômica,168,4,2,2,5,4,1,0,0,1,1,1,1,1
